Team,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arsenal,61.93,35.95,14.11,33.68,13.73,50.6,16.5,34.05,44.17,13.2,25.3,72.02,61.6,54.18,130.88,29.15
Aston Villa,25.74,28.71,9.98,9.21,9.72,18.19,27.17,27.39,61.49,51.59,41.14,22.37,30.61,21.82,14.8,73.21
Birmingham,,,17.24,18.81,17.35,8.91,,32.23,,22.06,28.16,,,,,
Blackburn,,36.31,7.98,24.57,8.66,10.34,19.77,6.82,12.85,14.61,5.56,22.61,,,,
Blackpool,,,,,,,,,,,6.3,,,,,
Bolton,,3.44,0,0.83,1.51,6.82,18.7,24.59,26.07,13.2,5.93,17.16,,,,
Bournemouth,,,,,,,,,,,,,,,,60.62
Bradford,7.27,,,,,,,,,,,,,,,
Burnley,,,,,,,,,,14.89,,,,,13.88,
Cardiff,,,,,,,,,,,,,,50.4,,
Charlton,22.88,14.85,7.43,1.65,14.58,10.01,23.82,,,,,,,,,
Chelsea,57.63,54.67,0,186.67,183.04,100.65,97.87,64.9,33.55,33,133.65,106.1,120.67,143.39,151.47,106.15
Coventry,20.9,,,,,,,,,,,,,,,
Crystal Palace,,,,,5.67,,,,,,,,,36.29,34.34,31.68
Derby,14.66,5.04,,,,,,24.94,,,,,,,,
Everton,37.93,11.55,15.1,11.07,13.06,35.78,19.69,41.31,27.58,25.63,1.87,7.92,23.82,34.98,44.18,53.79
Fulham,,55.66,3.3,9.33,15.35,7.21,,55.47,29.54,7.82,12.16,19.94,11,32.23,,
Hull,,,,,,,,,19.74,16.34,,,,34.21,53.04,
Ipswich,10.56,22.25,,,,,,,,,,,,,,
Leeds,58.47,50.93,4.95,0.11,,,,,,,,,,,,
Leicester,12.86,21.12,,1.25,,,,,,,,,,,25.15,54.89
Liverpool,37.4,34.72,34.65,17.22,64.24,48.46,50.6,124.52,53.85,47.85,107.5,71.86,77.66,63.91,166.57,139.15
Man City,22.3,,48.9,15.69,1.65,13.72,7.15,85.75,173.09,162.03,201.97,100.16,68.15,127.05,113.08,229.01
Man United,12.87,94.44,53.38,62.18,67.38,34.98,29.92,113.85,49.78,30.03,32.23,68.53,84.1,84.84,214.89,171.6
Middlesbrough,36.81,24.97,41.14,11.22,7.43,15.36,12.43,55.66,14.08,,,,,,,
Newcastle,28.5,34.74,38.01,0,32.4,67.93,35.06,41.64,39.02,,15.38,28.82,35.16,4.18,49.52,118.7
Norwich,,,,,9.38,,,,,,,16.78,12.19,33.06,,55.55
Portsmouth,,,,12.95,8.09,18.12,10.01,64.5,31.02,11.62,,,,,,
QPR,,,,,,,,,,,,28.85,55.39,,47.89,
Reading,,,,,,,10.15,13.31,,,,,11.9,,,
Sheffield United,,,,,,,19.83,,,,,,,,,
Southampton,0,21.29,13.2,9.87,13.94,,,,,,,,45.65,43.56,105.6,66.11
Stoke,,,,,,,,,37.35,28.66,23.21,27.28,26.05,7.7,1.98,59.02
Sunderland,18.55,43.73,32.64,,,6.52,,70.75,36.32,50.71,32.01,31.08,42.13,37.3,24.77,72.66
Swansea,,,,,,,,,,,,14.14,22.52,29.27,45.68,23.99
Tottenham,28.31,30.86,11.55,32.73,51.84,40.16,67.1,103.57,156.7,44.33,29.26,9.9,80.58,134.78,53.33,78.1
Watford,,,,,,,11.52,,,,,,,,,91.88
West Brom,,,18.65,,17.44,16.83,,,26.75,,15.21,10.05,5.5,17.27,27.37,47.19
West Ham,20.51,24.27,0.44,,,23.75,76.84,51.87,17.6,23.82,17.41,,26.28,26.4,38.67,57.97
Wigan,,,,,,17.35,,19.69,26.51,20.28,12.54,13.61,11.59,,,
Wolves,,,,10.86,,,,,,21.4,22.24,13.26,,,,
Wimbledon,,,,,,,,,,,,,,,,
