Team,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arsenal,8,3,6,0,5,11,8,3,6,9,8,10,7,7,7,7
Aston Villa,10,12,17,12,15,16,10,10,10,8,14,14,17,20,20,27
Birmingham,,,16,12,15,20,,19,,14,15,,,,,
Blackburn,,16,10,18,14,13,16,10,17,14,17,23,,,,
Blackpool,,,,,,,,,,,19,,,,,
Bolton,,16,14,13,12,12,14,19,19,19,16,22,,,,
Bournemouth,,,,,,,,,,,,,,,,18
Bradford,22,,,,,,,,,,,,,,,
Burnley,,,,,,,,,,24,,,,,19,
Cardiff,,,,,,,,,,,,,,22,,
Charlton,14,14,17,13,16,17,20,,,,,,,,,
Chelsea,11,8,9,7,1,5,3,3,5,6,9,10,7,6,3,12
Coventry,20,,,,,,,,,,,,,,,
Crystal Palace,,,,,19,,,,,,,,,19,16,18
Derby,16,24,,,,,,29,,,,,,,,
Everton,18,17,13,17,13,16,10,11,9,9,10,12,7,8,15,13
Fulham,,14,16,14,18,18,,18,13,16,11,14,17,24,,
Hull,,,,,,,,,19,20,,,,21,19,
Ipswich,12,20,,,,,,,,,,,,,,
Leeds,10,8,19,21,,,,,,,,,,,,
Leicester,18,20,,17,,,,,,,,,,,19,3
Liverpool,9,6,10,10,14,6,10,4,2,11,14,14,9,6,12,10
Man City,20,,17,15,12,21,18,13,18,7,9,5,6,6,7,10
Man United,6,9,5,9,5,5,5,5,4,7,4,5,5,12,8,10
Middlesbrough,14,17,15,16,11,17,16,16,20,,,,,,,
Newcastle,15,9,11,8,14,14,17,17,18,,14,11,19,19,19,19
Norwich,,,,,19,,,,,,,15,14,21,,22
Portsmouth,,,,17,19,20,12,13,17,24,,,,,,
QPR,,,,,,,,,,,,21,21,,24,
Reading,,,,,,,15,22,,,,,22,,,
Sheffield United,,,,,,,20,,,,,,,,,
Southampton,14,17,12,15,18,,,,,,,,15,12,14,11
Stoke,,,,,,,,,17,13,18,15,14,14,14,15
Sunderland,11,18,27,,,29,,21,20,16,15,15,17,20,14,17
Swansea,,,,,,,,,,,,15,14,18,14,15
Tottenham,15,16,16,19,14,9,12,14,15,10,8,9,8,11,12,6
Watford,,,,,,,20,,,,,,,,,17
West Brom,,,24,,16,15,,,22,,15,17,17,16,16,15
West Ham,16,15,16,,,15,21,15,15,19,19,,16,20,15,8
Wigan,,,,,,17,,18,17,20,14,17,20,,,
Wolves,,,,19,,,,,,18,20,23,,,,
Wimbledon,,,,,,,,,,,,,,,,
