Club,20/21,19/20,18/19,17/18,16/17,Total
Arsenal FC,$-74.09m,$-117.43m,$-79.48m,$5.67m,$-112.96m,$-378.28m
Aston Villa,$-90.59m,$-170.61m,$-3.91m,$16.53m,$-43.67m,$-292.24m
Brighton & Hove Albion,$-3.19m,$-74.19m,$-82.61m,$-73.26m,$-9.63m,$-242.87m
Burnley FC,$-1.21m,$-6.44m,$-27.50m,$15.69m,$-48.84m,$-68.30m
Chelsea FC,$-211.42m,$123.49m,$-138.11m,$-72.49m,$-26.29m,$-324.81m
Crystal Palace,$1.21m,$52.55m,$-12.65m,$-50.55m,$-56.21m,$-65.64m
Everton FC,$-77.49m,$-44.55m,$-78.27m,$-84.50m,$-27.72m,$-312.53m
Fulham FC,$-40.98m,$-9.35m,$-122.27m,$-2.17m,$-1.95m,$-176.71m
Leeds United,$-117.45m,$33.44m,$-4.51m,$-12.02m,$-1.10m,$-101.65m
Leicester City,$-11.25m,$-17.38m,$-20.68m,$-41.91m,$-28.11m,$-119.32m
Liverpool FC,$-40.15m,$34.32m,$-154.97m,$22.68m,$6.03m,$-132.09m
Manchester City,$-111.82m,$-99.57m,$-23.09m,$-248.77m,$-197.62m,$-680.85m
Manchester United,$-75.35m,$-146.96m,$-57.37m,$-168.19m,$-151.53m,$-599.39m
Newcastle United,$-42.32m,$-40.99m,$-9.57m,$-27.81m,$40.29m,$-80.40m
Sheffield United,$-68.97m,$-78.27m,$6.27m,$-6.20m,$4.60m,$-142.57m
Southampton FC,$-15.40m,$-34.43m,$-39.77m,$40.81m,$17.77m,$-31.02m
Tottenham Hotspur,$-106.92m,$-92.40m,$5.89m,$-21.67m,$-34.32m,$-249.43m
West Bromwich Albion,$-36.14m,$12.45m,$12.55m,$-56.60m,$-12.02m,$-79.75m
West Ham United,$-4.18m,$-71.74m,$-94.64m,$13.44m,$-46.75m,$-203.87m
Wolverhampton Wanderers,$-2.86m,$-107.47m,$-98.40m,$-20.12m,$-36.42m,$-265.27m
