Team,Spend,Arrivals,Income,Departures,Balance
Chelsea FC,$1.60bn,$420.00,$690.85m,$408.00,$-911.54m
Manchester City,$1.40bn,$388.00,$389.44m,$381.00,"$-1,013.22m"
Manchester United,$1.21bn,$357.00,$554.61m,$356.00,$-659.11m
Liverpool FC,$1.20bn,$368.00,$701.13m,$361.00,$-498.97m
Tottenham Hotspur,$971.77m,$428.00,$678.84m,$441.00,$-292.94m
Arsenal FC,$718.98m,$333.00,$539.31m,$333.00,$-179.67m
Newcastle United,$605.08m,$322.00,$381.54m,$320.00,$-223.53m
Sunderland AFC,$536.93m,$456.00,$247.79m,$460.00,$-289.13m
Aston Villa,$483.71m,$342.00,$284.71m,$345.00,$-199.00m
West Ham United,$432.50m,$424.00,$353.56m,$433.00,$-78.94m
Everton FC,$413.61m,$267.00,$320.81m,$265.00,$-92.80m
Southampton FC,$352.91m,$414.00,$337.19m,$421.00,$-15.72m
Fulham FC,$327.89m,$419.00,$187.33m,$417.00,$-140.56m
Middlesbrough FC,$301.15m,$402.00,$154.18m,$407.00,$-146.97m
West Bromwich Albion,$256.04m,$317.00,$129.39m,$319.00,$-126.65m
Stoke City,$226.97m,$387.00,$68.29m,$379.00,$-158.68m
Blackburn Rovers,$218.61m,$462.00,$293.52m,$478.00,$74.91m
Wigan Athletic,$198.09m,$379.00,$197.67m,$372.00,$-420Th.
Leeds United,$195.32m,$445.00,$238.73m,$458.00,$43.41m
Queens Park Rangers,$194.45m,$527.00,$84.58m,$517.00,$-109.87m
Birmingham City,$185.94m,$453.00,$146.79m,$452.00,$-39.15m
Portsmouth FC,$185.23m,$558.00,$196.10m,$550.00,$10.87m
Norwich City,$175.85m,$365.00,$101.93m,$354.00,$-73.92m
Leicester City,$172.15m,$456.00,$84.27m,$460.00,$-87.89m
Hull City,$166.94m,$424.00,$94.58m,$418.00,$-72.35m
Wolverhampton Wanderers,$161.61m,$454.00,$111.11m,$451.00,$-50.50m
Crystal Palace,$153.51m,$409.00,$81.87m,$409.00,$-71.64m
Swansea City,$144.30m,$303.00,$129.70m,$282.00,$-14.60m
Watford FC,$141.38m,$459.00,$77.46m,$455.00,$-63.91m
Derby County,$133.95m,$457.00,$88.81m,$450.00,$-45.13m
Charlton Athletic,$131.00m,$521.00,$110.18m,$523.00,$-20.82m
Bolton Wanderers,$128.46m,$420.00,$93.37m,$411.00,$-35.09m
Cardiff City,$114.90m,$371.00,$95.64m,$360.00,$-19.26m
Burnley FC,$85.60m,$319.00,$72.25m,$316.00,$-13.35m
Ipswich Town,$75.80m,$422.00,$98.41m,$418.00,$22.61m
AFC Bournemouth,$74.34m,$363.00,$14.26m,$343.00,$-60.08m
Reading FC,$71.74m,$447.00,$93.04m,$444.00,$21.30m
Coventry City,$67.81m,$432.00,$133.17m,$442.00,$65.36m
Sheffield United,$62.73m,$544.00,$91.29m,$545.00,$28.56m
Sheffield Wednesday,$42.83m,$430.00,$26.40m,$436.00,$-16.43m
Milton Keynes Dons,$20.18m,$387.00,$67.20m,$410.00,$47.02m
Blackpool FC,$13.93m,$491.00,$27.51m,$489.00,$13.58m
Bradford City,$10.72m,$436.00,$18.56m,$442.00,$7.85m
